Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
360.000000	0.00936809	360.000000	0.0116071 	360.000000	0.0116288 	360.000000	0.0115687 	360.000000	0.0116036 	360.000000	3.45803e-06	
370.000000	0.00923759	370.000000	0.0114464 	370.000000	0.0114689 	370.000000	0.0114099 	370.000000	0.0114431 	370.000000	3.3715e-06	
380.000000	0.00911379	380.000000	0.0112943 	380.000000	0.0113181 	380.000000	0.0112596 	380.000000	0.011291  	380.000000	3.28935e-06	
390.000000	0.0089962 	390.000000	0.01115   	390.000000	0.0111756 	390.000000	0.0111171 	390.000000	0.0111468 	390.000000	3.21125e-06	
400.000000	0.00888437	400.000000	0.011013  	400.000000	0.0110403 	400.000000	0.010982  	400.000000	0.0110098 	400.000000	3.1369e-06	
410.000000	0.0087779 	410.000000	0.0108827 	410.000000	0.0109117 	410.000000	0.0108537 	410.000000	0.0108796 	410.000000	3.06603e-06	
420.000000	0.00867644	420.000000	0.0107587 	420.000000	0.0107895 	420.000000	0.0107317 	420.000000	0.0107557 	420.000000	2.9984e-06	
430.000000	0.00857964	430.000000	0.0106405 	430.000000	0.0106731 	430.000000	0.0106156 	430.000000	0.0106376 	430.000000	2.9338e-06	
440.000000	0.0084872 	440.000000	0.0105279 	440.000000	0.0105624 	440.000000	0.0105049 	440.000000	0.010525  	440.000000	2.87201e-06	
450.000000	0.00839886	450.000000	0.0104203 	450.000000	0.0104567 	450.000000	0.0103994 	450.000000	0.0104175 	450.000000	2.81287e-06	
460.000000	0.00831435	460.000000	0.0103176 	460.000000	0.0103554 	460.000000	0.0102987 	460.000000	0.0103148 	460.000000	2.7562e-06	
470.000000	0.00823344	470.000000	0.0102193 	470.000000	0.0102585 	470.000000	0.0102024 	470.000000	0.0102166 	470.000000	2.70184e-06	
480.000000	0.00815592	480.000000	0.0101253 	480.000000	0.0101659 	480.000000	0.0101104 	480.000000	0.0101227 	480.000000	2.64966e-06	
490.000000	0.00808159	490.000000	0.0100353 	490.000000	0.0100777 	490.000000	0.0100224 	490.000000	0.0100327 	490.000000	2.59953e-06	
500.000000	0.00801027	500.000000	0.00994895	500.000000	0.00999336	500.000000	0.00993811	500.000000	0.0099464 	500.000000	2.55132e-06	
520.000000	0.00787599	520.000000	0.00978672	520.000000	0.00983486	520.000000	0.00977987	520.000000	0.00978426	520.000000	2.46026e-06	
540.000000	0.0077519 	540.000000	0.00963708	540.000000	0.00968888	540.000000	0.00963419	540.000000	0.0096347 	540.000000	2.37568e-06	
560.000000	0.00763694	560.000000	0.00949872	560.000000	0.00955414	560.000000	0.00949972	560.000000	0.00949643	560.000000	2.29692e-06	
580.000000	0.00753022	580.000000	0.00937052	580.000000	0.00942936	580.000000	0.00937533	580.000000	0.0093683 	580.000000	2.22338e-06	
600.000000	0.00743097	600.000000	0.00925148	600.000000	0.0093134 	600.000000	0.00926001	600.000000	0.00924933	600.000000	2.15456e-06	
620.000000	0.00733848	620.000000	0.00914074	620.000000	0.00920566	620.000000	0.0091529 	620.000000	0.00913865	620.000000	2.09001e-06	
640.000000	0.00725217	640.000000	0.00903755	640.000000	0.00910571	640.000000	0.00905322	640.000000	0.00903552	640.000000	2.02935e-06	
660.000000	0.0071715 	660.000000	0.00894122	660.000000	0.00901266	660.000000	0.00896031	660.000000	0.00893925	660.000000	1.97222e-06	
680.000000	0.007096  	680.000000	0.00885118	680.000000	0.00892572	680.000000	0.00887357	680.000000	0.00884926	680.000000	1.91833e-06	
700.000000	0.00702524	700.000000	0.0087669 	700.000000	0.00884446	700.000000	0.00879247	700.000000	0.00876503	700.000000	1.8674e-06	
720.000000	0.00695886	720.000000	0.0086879 	720.000000	0.00876844	720.000000	0.00871653	720.000000	0.00868609	720.000000	1.81919e-06	
740.000000	0.00689652	740.000000	0.00861378	740.000000	0.00869698	740.000000	0.00864534	740.000000	0.00861201	740.000000	1.77349e-06	
760.000000	0.00683791	760.000000	0.00854416	760.000000	0.00862961	760.000000	0.00857852	760.000000	0.00854243	760.000000	1.7301e-06	
780.000000	0.00678277	780.000000	0.0084787 	780.000000	0.00856629	780.000000	0.00851574	780.000000	0.00847701	780.000000	1.68886e-06	
800.000000	0.00673084	800.000000	0.00841709	800.000000	0.00850694	800.000000	0.00845668	800.000000	0.00841544	800.000000	1.64961e-06	
820.000000	0.00668192	820.000000	0.00835906	820.000000	0.00845123	820.000000	0.00840107	820.000000	0.00835745	820.000000	1.61219e-06	
840.000000	0.00663578	840.000000	0.00830436	840.000000	0.00839875	840.000000	0.00834866	840.000000	0.00830279	840.000000	1.57649e-06	
860.000000	0.00659226	860.000000	0.00825277	860.000000	0.0083492 	860.000000	0.00829922	860.000000	0.00825123	860.000000	1.54239e-06	
880.000000	0.00655118	880.000000	0.00820407	880.000000	0.0083024 	880.000000	0.00825255	880.000000	0.00820256	880.000000	1.50979e-06	
900.000000	0.00651239	900.000000	0.00815808	900.000000	0.00825822	900.000000	0.00820846	900.000000	0.0081566 	900.000000	1.47857e-06	
920.000000	0.00647574	920.000000	0.00811463	920.000000	0.00821648	920.000000	0.00816677	920.000000	0.00811318	920.000000	1.44867e-06	
940.000000	0.00644112	940.000000	0.00807355	940.000000	0.00817695	940.000000	0.00812733	940.000000	0.00807213	940.000000	1.41999e-06	
960.000000	0.00640839	960.000000	0.00803471	960.000000	0.00813941	960.000000	0.00808999	960.000000	0.00803331	960.000000	1.39246e-06	
980.000000	0.00637746	980.000000	0.00799796	980.000000	0.00810373	980.000000	0.00805462	980.000000	0.00799659	980.000000	1.36601e-06	
1000.000000	0.00634821	1000.000000	0.00796319	1000.000000	0.00806986	1000.000000	0.0080211 	1000.000000	0.00796185	1000.000000	1.34059e-06	
1020.000000	0.00632057	1020.000000	0.00793028	1020.000000	0.00803777	1020.000000	0.00798932	1020.000000	0.00792896	1020.000000	1.31612e-06	
1040.000000	0.00629443	1040.000000	0.00789912	1040.000000	0.00800741	1040.000000	0.00795916	1040.000000	0.00789783	1040.000000	1.29256e-06	
1060.000000	0.00626972	1060.000000	0.00786963	1060.000000	0.00797869	1060.000000	0.00793055	1060.000000	0.00786836	1060.000000	1.26985e-06	
1080.000000	0.00624636	1080.000000	0.0078417 	1080.000000	0.00795146	1080.000000	0.00790338	1080.000000	0.00784045	1080.000000	1.24796e-06	
1100.000000	0.00622429	1100.000000	0.00781526	1100.000000	0.00792562	1100.000000	0.00787757	1100.000000	0.00781403	1100.000000	1.22683e-06	
1120.000000	0.00620344	1120.000000	0.00779023	1120.000000	0.00790106	1120.000000	0.00785305	1120.000000	0.00778902	1120.000000	1.20643e-06	
1140.000000	0.00618375	1140.000000	0.00776652	1140.000000	0.00787768	1140.000000	0.00782974	1140.000000	0.00776534	1140.000000	1.18672e-06	
1160.000000	0.00616517	1160.000000	0.00774409	1160.000000	0.00785545	1160.000000	0.00780759	1160.000000	0.00774292	1160.000000	1.16766e-06	
1180.000000	0.00614764	1180.000000	0.00772286	1180.000000	0.00783431	1180.000000	0.00778652	1180.000000	0.00772171	1180.000000	1.14923e-06	
1200.000000	0.00613111	1200.000000	0.00770278	1200.000000	0.00781422	1200.000000	0.00776648	1200.000000	0.00770164	1200.000000	1.13139e-06	
1220.000000	0.00611554	1220.000000	0.00768378	1220.000000	0.00779512	1220.000000	0.00774741	1220.000000	0.00768266	1220.000000	1.11411e-06	
1240.000000	0.00610088	1240.000000	0.00766582	1240.000000	0.00777695	1240.000000	0.00772928	1240.000000	0.00766472	1240.000000	1.09737e-06	
1260.000000	0.00608709	1260.000000	0.00764885	1260.000000	0.00775966	1260.000000	0.00771201	1260.000000	0.00764777	1260.000000	1.08114e-06	
1280.000000	0.00607414	1280.000000	0.00763282	1280.000000	0.00774318	1280.000000	0.00769559	1280.000000	0.00763176	1280.000000	1.0654e-06	
1300.000000	0.00606199	1300.000000	0.00761769	1300.000000	0.00772747	1300.000000	0.00767996	1300.000000	0.00761664	1300.000000	1.05012e-06	
