Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
16.000000	0.66324   	16.000000	0.679617  	16.000000	0.673385  	16.000000	0.679706  	16.000000	0.679299  	16.000000	0.000318084	
17.000000	0.6339    	17.000000	0.649838  	17.000000	0.643068  	17.000000	0.64958   	17.000000	0.649537  	17.000000	0.000301323	
18.000000	0.607286  	18.000000	0.622703  	18.000000	0.61544   	18.000000	0.622037  	18.000000	0.622416  	18.000000	0.000286318	
19.000000	0.58303   	19.000000	0.597877  	19.000000	0.590142  	19.000000	0.596754  	19.000000	0.597604  	19.000000	0.000272804	
20.000000	0.560829  	20.000000	0.575082  	20.000000	0.566872  	20.000000	0.573465  	20.000000	0.574821  	20.000000	0.000260566	
21.000000	0.540429  	21.000000	0.55408   	21.000000	0.545398  	21.000000	0.551941  	21.000000	0.553831  	21.000000	0.000249428	
22.000000	0.521617  	22.000000	0.534669  	22.000000	0.525536  	22.000000	0.531989  	22.000000	0.53443   	22.000000	0.000239246	
23.000000	0.504213  	23.000000	0.516676  	23.000000	0.507116  	23.000000	0.513442  	23.000000	0.516446  	23.000000	0.000229901	
24.000000	0.488061  	24.000000	0.499951  	24.000000	0.489988  	24.000000	0.496158  	24.000000	0.49973   	24.000000	0.000221291	
25.000000	0.47303   	25.000000	0.484366  	25.000000	0.474012  	25.000000	0.480013  	25.000000	0.484152  	25.000000	0.000213332	
27.000000	0.445886  	27.000000	0.456179  	27.000000	0.445039  	27.000000	0.450718  	27.000000	0.45598   	27.000000	0.000199087	
29.000000	0.422034  	29.000000	0.431374  	29.000000	0.419529  	29.000000	0.424843  	29.000000	0.431187  	29.000000	0.000186704	
31.000000	0.400902  	31.000000	0.409377  	31.000000	0.397791  	31.000000	0.40248   	31.000000	0.409201  	31.000000	0.000175835	
33.000000	0.382043  	33.000000	0.389736  	33.000000	0.379148  	33.000000	0.38314   	33.000000	0.38957   	33.000000	0.000166213	
35.000000	0.365103  	35.000000	0.372091  	35.000000	0.362424  	35.000000	0.365792  	35.000000	0.371933  	35.000000	0.000157634	
