! 12C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
1.500000	17.1792   	1.500000	16.6394   	1.500000	17.1633   	1.500000	17.1633   	1.500000	17.1633   	1.500000	0.110004  	1.500000	0.0782689 	1.500000	0.497229  	1.500000	0.609592  	1.500000	0.452252  	
1.750000	20.5581   	1.750000	19.9118   	1.750000	20.5773   	1.750000	20.5773   	1.750000	20.5773   	1.750000	0.130758  	1.750000	0.0938119 	1.750000	0.555022  	1.750000	0.672627  	1.750000	0.507229  	
2.000000	24.1934   	2.000000	23.4326   	2.000000	24.2112   	2.000000	24.2112   	2.000000	24.2112   	2.000000	0.153072  	2.000000	0.110543  	2.000000	0.614255  	2.000000	0.736783  	2.000000	0.563691  	
2.250000	28.0991   	2.250000	27.2151   	2.250000	28.0634   	2.250000	28.0634   	2.250000	28.0633   	2.250000	0.17693   	2.250000	0.128301  	2.250000	0.674995  	2.250000	0.802269  	2.250000	0.6217    	
2.500000	32.2589   	2.500000	31.2476   	2.500000	32.1326   	2.500000	32.1326   	2.500000	32.1326   	2.500000	0.202325  	2.500000	0.146999  	2.500000	0.737543  	2.500000	0.869304  	2.500000	0.68151   	
3.000000	40.8832   	3.000000	40.027    	3.000000	40.9183   	3.000000	40.9183   	3.000000	40.9183   	3.000000	0.257727  	3.000000	0.187023  	3.000000	0.842907  	3.000000	1.00566   	3.000000	0.782762  	
3.500000	50.3923   	3.500000	49.721    	3.500000	50.5598   	3.500000	50.5598   	3.500000	50.5597   	3.500000	0.319266  	3.500000	0.230404  	3.500000	0.956055  	3.500000	1.12646   	3.500000	0.891521  	
4.000000	60.7808   	4.000000	60.3003   	4.000000	61.0481   	4.000000	61.0481   	4.000000	61.048    	4.000000	0.386914  	4.000000	0.277031  	4.000000	1.07846   	4.000000	1.25644   	4.000000	1.00923   	
4.500000	72.0412   	4.500000	71.739    	4.500000	72.3737   	4.500000	72.3737   	4.500000	72.3737   	4.500000	0.460625  	4.500000	0.326797  	4.500000	1.20989   	4.500000	1.3952    	4.500000	1.1357    	
5.000000	84.1653   	5.000000	84.0176   	5.000000	84.5271   	5.000000	84.5271   	5.000000	84.5271   	5.000000	0.540341  	5.000000	0.379618  	5.000000	1.35016   	5.000000	1.54242   	5.000000	1.27078   	
5.500000	97.145    	5.500000	97.1207   	5.500000	97.4989   	5.500000	97.4989   	5.500000	97.4988   	5.500000	0.626001  	5.500000	0.435429  	5.500000	1.49907   	5.500000	1.69781   	5.500000	1.41428   	
6.000000	110.972   	6.000000	111.036   	6.000000	111.28    	6.000000	111.28    	6.000000	111.28    	6.000000	0.717543  	6.000000	0.494174  	6.000000	1.6565    	6.000000	1.86118   	6.000000	1.56612   	
6.500000	125.638   	6.500000	125.751   	6.500000	125.861   	6.500000	125.861   	6.500000	125.861   	6.500000	0.814905  	6.500000	0.555796  	6.500000	1.82228   	6.500000	2.03231   	6.500000	1.72614   	
7.000000	141.137   	7.000000	141.258   	7.000000	141.234   	7.000000	141.234   	7.000000	141.234   	7.000000	0.918029  	7.000000	0.620244  	7.000000	1.99633   	7.000000	2.21106   	7.000000	1.89425   	
7.500000	157.459   	7.500000	157.546   	7.500000	157.392   	7.500000	157.392   	7.500000	157.391   	7.500000	1.02686   	7.500000	0.687472  	7.500000	2.17851   	7.500000	2.39727   	7.500000	2.07035   	
8.000000	174.598   	8.000000	174.608   	8.000000	174.325   	8.000000	174.325   	8.000000	174.325   	8.000000	1.14134   	8.000000	0.757436  	8.000000	2.36875   	8.000000	2.59081   	8.000000	2.25435   	
8.500000	192.548   	8.500000	192.434   	8.500000	192.028   	8.500000	192.028   	8.500000	192.028   	8.500000	1.26142   	8.500000	0.830099  	8.500000	2.56695   	8.500000	2.79158   	8.500000	2.44617   	
9.000000	211.301   	9.000000	211.019   	9.000000	210.494   	9.000000	210.494   	9.000000	210.493   	9.000000	1.38705   	9.000000	0.905421  	9.000000	2.77302   	9.000000	2.99945   	9.000000	2.64573   	
9.500000	230.851   	9.500000	230.355   	9.500000	229.715   	9.500000	229.715   	9.500000	229.715   	9.500000	1.51818   	9.500000	0.98337   	9.500000	2.9869    	9.500000	3.21435   	9.500000	2.85297   	
10.000000	251.191   	10.000000	250.432   	10.000000	249.686   	10.000000	249.686   	10.000000	249.686   	10.000000	1.65478   	10.000000	1.06391   	10.000000	3.20851   	10.000000	3.43616   	10.000000	3.06781   	
11.000000	294.221   	11.000000	292.62    	11.000000	291.888   	11.000000	291.87    	11.000000	291.882   	11.000000	1.94474   	11.000000	1.23299   	11.000000	3.67505   	11.000000	3.90059   	11.000000	3.52045   	
12.000000	340.345   	12.000000	337.738   	12.000000	337.1     	12.000000	337.032   	12.000000	337.08    	12.000000	2.25735   	12.000000	1.41287   	12.000000	4.17275   	12.000000	4.39268   	12.000000	4.00377   	
13.000000	389.519   	13.000000	385.767   	13.000000	385.296   	13.000000	385.149   	13.000000	385.257   	13.000000	2.59255   	13.000000	1.6034    	13.000000	4.70143   	13.000000	4.91215   	13.000000	4.51764   	
14.000000	441.704   	14.000000	436.683   	14.000000	436.454   	14.000000	436.202   	14.000000	436.392   	14.000000	2.95026   	14.000000	1.80445   	14.000000	5.26095   	14.000000	5.45874   	14.000000	5.06194   	
15.000000	496.861   	15.000000	490.466   	15.000000	490.553   	15.000000	490.172   	15.000000	490.467   	15.000000	3.33043   	15.000000	2.01605   	15.000000	5.85121   	15.000000	6.03223   	15.000000	5.63658   	
16.000000	554.955   	16.000000	547.091   	16.000000	547.577   	16.000000	547.044   	16.000000	547.465   	16.000000	3.73302   	16.000000	2.23815   	16.000000	6.47209   	16.000000	6.63242   	16.000000	6.24148   	
17.000000	615.951   	17.000000	606.538   	17.000000	607.505   	17.000000	606.803   	17.000000	607.369   	17.000000	4.15798   	17.000000	2.47063   	17.000000	7.1235    	17.000000	7.25914   	17.000000	6.87656   	
18.000000	679.817   	18.000000	668.784   	18.000000	670.324   	18.000000	669.436   	18.000000	670.165   	18.000000	4.60529   	18.000000	2.71338   	18.000000	7.80538   	18.000000	7.91223   	18.000000	7.54179   	
19.000000	746.522   	19.000000	733.806   	19.000000	736.021   	19.000000	734.931   	19.000000	735.839   	19.000000	5.07491   	19.000000	2.96638   	19.000000	8.51763   	19.000000	8.59153   	19.000000	8.23709   	
20.000000	816.035   	20.000000	801.583   	20.000000	804.584   	20.000000	803.277   	20.000000	804.379   	20.000000	5.56683   	20.000000	3.22968   	20.000000	9.26021   	20.000000	9.29693   	20.000000	8.96243   	
21.000000	888.329   	21.000000	872.094   	21.000000	875.999   	21.000000	874.464   	21.000000	875.774   	21.000000	6.08101   	21.000000	3.5033    	21.000000	10.0331   	21.000000	10.0283   	21.000000	9.7178    	
22.000000	963.376   	22.000000	945.318   	22.000000	950.255   	22.000000	948.484   	22.000000	950.012   	22.000000	6.61746   	22.000000	3.78719   	22.000000	10.8361   	22.000000	10.7855   	22.000000	10.5031   	
23.000000	1041.15   	23.000000	1021.23   	23.000000	1027.34   	23.000000	1025.33   	23.000000	1027.08   	23.000000	7.17615   	23.000000	4.08122   	23.000000	11.6694   	23.000000	11.5685   	23.000000	11.3185   	
24.000000	1121.63   	24.000000	1099.82   	24.000000	1107.25   	24.000000	1104.99   	24.000000	1106.98   	24.000000	7.75706   	24.000000	4.38536   	24.000000	12.5328   	24.000000	12.3772   	24.000000	12.1638   	
25.000000	1204.78   	25.000000	1181.06   	25.000000	1189.98   	25.000000	1187.45   	25.000000	1189.69   	25.000000	8.36019   	25.000000	4.69961   	25.000000	13.4263   	25.000000	13.2115   	25.000000	13.039    	
