! 12C energy loss (dE/dX) in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
18.000000	0.193908  	18.000000	0.188517  	18.000000	0.18669   	18.000000	0.187256  	18.000000	0.186756  	18.000000	0.188428  	18.000000	8.8279e-05	
19.000000	0.185609  	19.000000	0.180665  	19.000000	0.178702  	19.000000	0.179263  	19.000000	0.178764  	19.000000	0.18058   	19.000000	8.40956e-05	
20.000000	0.17806   	20.000000	0.173494  	20.000000	0.171403  	20.000000	0.17195   	20.000000	0.171457  	20.000000	0.173414  	20.000000	8.03079e-05	
21.000000	0.171161  	21.000000	0.16692   	21.000000	0.164706  	21.000000	0.165232  	21.000000	0.164748  	21.000000	0.166844  	21.000000	7.68615e-05	
22.000000	0.164831  	22.000000	0.160871  	22.000000	0.158533  	22.000000	0.159039  	22.000000	0.158568  	22.000000	0.160797  	22.000000	7.37117e-05	
23.000000	0.159001  	23.000000	0.155286  	23.000000	0.152823  	23.000000	0.153309  	23.000000	0.152853  	23.000000	0.155215  	23.000000	7.08211e-05	
24.000000	0.153614  	24.000000	0.150112  	24.000000	0.147525  	24.000000	0.147992  	24.000000	0.147554  	24.000000	0.150044  	24.000000	6.81586e-05	
25.000000	0.148619  	25.000000	0.145306  	25.000000	0.142596  	25.000000	0.143044  	25.000000	0.142625  	25.000000	0.145241  	25.000000	6.56978e-05	
27.000000	0.139645  	27.000000	0.136651  	27.000000	0.133704  	27.000000	0.13411   	27.000000	0.133731  	27.000000	0.136589  	27.000000	6.12949e-05	
29.000000	0.131807  	29.000000	0.129069  	29.000000	0.125908  	29.000000	0.126263  	29.000000	0.125927  	29.000000	0.129012  	29.000000	5.74684e-05	
31.000000	0.124899  	31.000000	0.122372  	31.000000	0.119257  	31.000000	0.119548  	31.000000	0.119268  	31.000000	0.122318  	31.000000	5.41106e-05	
33.000000	0.118762  	33.000000	0.116412  	33.000000	0.113556  	33.000000	0.113788  	33.000000	0.11357   	33.000000	0.116361  	33.000000	5.11393e-05	
35.000000	0.113271  	35.000000	0.111072  	35.000000	0.108446  	35.000000	0.108626  	35.000000	0.10846   	35.000000	0.111024  	35.000000	4.84904e-05	
38.000000	0.106038  	38.000000	0.104027  	38.000000	0.1017    	38.000000	0.101814  	38.000000	0.101709  	38.000000	0.103982  	38.000000	4.50142e-05	
41.000000	0.0997844 	41.000000	0.0979291 	41.000000	0.0958555 	41.000000	0.0959129 	41.000000	0.0958557 	41.000000	0.097887  	41.000000	4.20219e-05	
44.000000	0.0943218 	44.000000	0.0925972 	44.000000	0.090725  	44.000000	0.0907492 	44.000000	0.0907295 	44.000000	0.0925578 	44.000000	3.94178e-05	
47.000000	0.0895062 	47.000000	0.0878941 	47.000000	0.0862019 	47.000000	0.0861901 	47.000000	0.0862005 	47.000000	0.087857  	47.000000	3.71299e-05	
50.000000	0.0852271 	50.000000	0.0837135 	50.000000	0.082174  	50.000000	0.0821336 	50.000000	0.0821683 	50.000000	0.0836784 	50.000000	3.51034e-05	
55.000000	0.0790607 	55.000000	0.0776882 	55.000000	0.0763482 	55.000000	0.0762793 	55.000000	0.0763447 	55.000000	0.077656  	55.000000	3.2194e-05	
60.000000	0.073852  	60.000000	0.0725994 	60.000000	0.0714172 	60.000000	0.0713268 	60.000000	0.0714144 	60.000000	0.0725697 	60.000000	2.9747e-05	
65.000000	0.0693901 	65.000000	0.0682424 	65.000000	0.0671801 	65.000000	0.0670795 	65.000000	0.0671834 	65.000000	0.0682147 	65.000000	2.7659e-05	
70.000000	0.0655223 	70.000000	0.0644682 	70.000000	0.0635141 	70.000000	0.0633948 	70.000000	0.0635108 	70.000000	0.0644423 	70.000000	2.58556e-05	
75.000000	0.0621351 	75.000000	0.0611661 	75.000000	0.0602896 	75.000000	0.0601663 	75.000000	0.0602914 	75.000000	0.0611418 	75.000000	2.42815e-05	
80.000000	0.0591424 	80.000000	0.0582518 	80.000000	0.0574476 	80.000000	0.0573132 	80.000000	0.0574452 	80.000000	0.0582289 	80.000000	2.28951e-05	
85.000000	0.0564778 	85.000000	0.0556601 	85.000000	0.0549088 	85.000000	0.0547727 	85.000000	0.0549098 	85.000000	0.0556384 	85.000000	2.16643e-05	
90.000000	0.0540889 	90.000000	0.0533397 	90.000000	0.0526403 	90.000000	0.0524955 	90.000000	0.0526364 	90.000000	0.0533191 	90.000000	2.0564e-05	
95.000000	0.0519342 	95.000000	0.0512497 	95.000000	0.0505873 	95.000000	0.0504423 	95.000000	0.0505861 	95.000000	0.0512301 	95.000000	1.95742e-05	
100.000000	0.0499801 	100.000000	0.0493571 	100.000000	0.0487265 	100.000000	0.0485812 	100.000000	0.0487271 	100.000000	0.0493384 	100.000000	1.86789e-05	
105.000000	0.0481991 	105.000000	0.0476349 	105.000000	0.047031  	105.000000	0.0468861 	105.000000	0.0470335 	105.000000	0.0476171 	105.000000	1.7865e-05	
110.000000	0.0465688 	110.000000	0.046061  	110.000000	0.0454859 	110.000000	0.0453357 	110.000000	0.0454843 	110.000000	0.0460439 	110.000000	1.71218e-05	
115.000000	0.0450704 	115.000000	0.0446168 	115.000000	0.0440638 	115.000000	0.0439119 	115.000000	0.0440611 	115.000000	0.0446003 	115.000000	1.64402e-05	
120.000000	0.043688  	120.000000	0.0432867 	120.000000	0.0427505 	120.000000	0.0425998 	120.000000	0.0427494 	120.000000	0.0432709 	120.000000	1.58129e-05	
125.000000	0.0424084 	125.000000	0.0420576 	125.000000	0.041537  	125.000000	0.0413865 	125.000000	0.0415363 	125.000000	0.0420424 	125.000000	1.52335e-05	
130.000000	0.0412203 	130.000000	0.0409185 	130.000000	0.0404113 	130.000000	0.0402614 	130.000000	0.0404112 	130.000000	0.0409038 	130.000000	1.46966e-05	
135.000000	0.0401138 	135.000000	0.0398596 	135.000000	0.0393644 	135.000000	0.039215  	135.000000	0.0393646 	135.000000	0.0398454 	135.000000	1.41978e-05	
140.000000	0.0390808 	140.000000	0.0388727 	140.000000	0.0383882 	140.000000	0.0382393 	140.000000	0.0383887 	140.000000	0.038859  	140.000000	1.3733e-05	
145.000000	0.0381139 	145.000000	0.0379507 	145.000000	0.0374757 	145.000000	0.0373274 	145.000000	0.0374763 	145.000000	0.0379374 	145.000000	1.32988e-05	
150.000000	0.0372068 	150.000000	0.0370874 	150.000000	0.0366209 	150.000000	0.0364732 	150.000000	0.0366217 	150.000000	0.0370745 	150.000000	1.28922e-05	
155.000000	0.0359295 	155.000000	0.0362772 	155.000000	0.0358185 	155.000000	0.0356714 	155.000000	0.0358194 	155.000000	0.0362647 	155.000000	1.25107e-05	
160.000000	0.0351809 	160.000000	0.0355155 	160.000000	0.0350637 	160.000000	0.0349172 	160.000000	0.0350646 	160.000000	0.0355034 	160.000000	1.21521e-05	
165.000000	0.0344749 	165.000000	0.034798  	165.000000	0.0343525 	165.000000	0.0342066 	165.000000	0.0343535 	165.000000	0.0347861 	165.000000	1.18141e-05	
170.000000	0.033808  	170.000000	0.0341208 	170.000000	0.0336813 	170.000000	0.0335359 	170.000000	0.0336821 	170.000000	0.0341093 	170.000000	1.14952e-05	
175.000000	0.0331769 	175.000000	0.0334808 	175.000000	0.0330466 	175.000000	0.0329018 	175.000000	0.0330474 	175.000000	0.0334696 	175.000000	1.11937e-05	
180.000000	0.0325789 	180.000000	0.0328748 	180.000000	0.0324456 	180.000000	0.0323014 	180.000000	0.0324464 	180.000000	0.0328639 	180.000000	1.09082e-05	
185.000000	0.0320113 	185.000000	0.0323004 	185.000000	0.0318758 	185.000000	0.0317322 	185.000000	0.0318764 	185.000000	0.0322897 	185.000000	1.06375e-05	
190.000000	0.0314719 	190.000000	0.031755  	190.000000	0.0313347 	190.000000	0.0311916 	190.000000	0.0313352 	190.000000	0.0317446 	190.000000	1.03804e-05	
195.000000	0.0309586 	195.000000	0.0312365 	195.000000	0.0308203 	195.000000	0.0306778 	195.000000	0.0308207 	195.000000	0.0312263 	195.000000	1.01359e-05	
200.000000	0.0304694 	200.000000	0.0307429 	200.000000	0.0303306 	200.000000	0.0301886 	200.000000	0.0303308 	200.000000	0.030733  	200.000000	9.90309e-06	
210.000000	0.0295572 	210.000000	0.0298239 	210.000000	0.0294186 	210.000000	0.0292777 	210.000000	0.0294186 	210.000000	0.0298144 	210.000000	9.4693e-06	
220.000000	0.0287235 	220.000000	0.0289856 	220.000000	0.0285868 	220.000000	0.028447  	220.000000	0.0285864 	220.000000	0.0289766 	220.000000	9.07326e-06	
230.000000	0.0279585 	230.000000	0.028218  	230.000000	0.0278251 	230.000000	0.0276862 	230.000000	0.0278245 	230.000000	0.0282092 	230.000000	8.71021e-06	
240.000000	0.0272539 	240.000000	0.0275123 	240.000000	0.027125  	240.000000	0.0269872 	240.000000	0.0271241 	240.000000	0.027504  	240.000000	8.37612e-06	
250.000000	0.0266029 	250.000000	0.0268616 	250.000000	0.02648   	250.000000	0.0263427 	250.000000	0.0264784 	250.000000	0.0268535 	250.000000	8.06763e-06	
260.000000	0.0259996 	260.000000	0.0262596 	260.000000	0.0258817 	260.000000	0.0257467 	260.000000	0.0258812 	260.000000	0.0262519 	260.000000	7.78187e-06	
270.000000	0.0254388 	270.000000	0.0257012 	270.000000	0.0253258 	270.000000	0.025194  	270.000000	0.0253274 	270.000000	0.0256937 	270.000000	7.51638e-06	
280.000000	0.0249163 	280.000000	0.0251818 	280.000000	0.0248114 	280.000000	0.0246802 	280.000000	0.0248124 	280.000000	0.0251745 	280.000000	7.26906e-06	
290.000000	0.0244283 	290.000000	0.0246974 	290.000000	0.0243319 	290.000000	0.0242013 	290.000000	0.0243325 	290.000000	0.0246904 	290.000000	7.03808e-06	
300.000000	0.0239714 	300.000000	0.0242448 	300.000000	0.0238838 	300.000000	0.0237541 	300.000000	0.0238841 	300.000000	0.024238  	300.000000	6.82186e-06	
310.000000	0.0235428 	310.000000	0.023821  	310.000000	0.0234646 	310.000000	0.0233355 	310.000000	0.0234645 	310.000000	0.0238144 	310.000000	6.619e-06 	
320.000000	0.0231399 	320.000000	0.0234233 	320.000000	0.0230714 	320.000000	0.0229429 	320.000000	0.023071  	320.000000	0.0234169 	320.000000	6.42829e-06	
330.000000	0.0227606 	330.000000	0.0230494 	330.000000	0.0227018 	330.000000	0.0225741 	330.000000	0.0227013 	330.000000	0.0230432 	330.000000	6.24866e-06	
340.000000	0.0224029 	340.000000	0.0226973 	340.000000	0.0223543 	340.000000	0.022227  	340.000000	0.0223533 	340.000000	0.0226913 	340.000000	6.07915e-06	
350.000000	0.022065  	350.000000	0.0223653 	350.000000	0.0220268 	350.000000	0.0218999 	350.000000	0.0220253 	350.000000	0.0223594 	350.000000	5.91893e-06	
360.000000	0.0217452 	360.000000	0.0220516 	360.000000	0.0217165 	360.000000	0.0215911 	360.000000	0.0217157 	360.000000	0.0220458 	360.000000	5.76724e-06	
370.000000	0.0214423 	370.000000	0.0217548 	370.000000	0.0214223 	370.000000	0.0212992 	370.000000	0.021423  	370.000000	0.0217492 	370.000000	5.62342e-06	
380.000000	0.0211549 	380.000000	0.0214737 	380.000000	0.0211449 	380.000000	0.0210228 	380.000000	0.0211458 	380.000000	0.0214682 	380.000000	5.48684e-06	
390.000000	0.020882  	390.000000	0.0212071 	390.000000	0.0208827 	390.000000	0.0207609 	390.000000	0.0208832 	390.000000	0.0212017 	390.000000	5.35699e-06	
400.000000	0.0206224 	400.000000	0.0209539 	400.000000	0.0206338 	400.000000	0.0205124 	400.000000	0.0206339 	400.000000	0.0209486 	400.000000	5.23336e-06	
410.000000	0.0203753 	410.000000	0.0207131 	410.000000	0.0203972 	410.000000	0.0202762 	410.000000	0.0203971 	410.000000	0.020708  	410.000000	5.11551e-06	
420.000000	0.0201397 	420.000000	0.020484  	420.000000	0.0201721 	420.000000	0.0200517 	420.000000	0.0201718 	420.000000	0.020479  	420.000000	5.00304e-06	
430.000000	0.0199151 	430.000000	0.0202657 	430.000000	0.0199579 	430.000000	0.0198379 	430.000000	0.0199574 	430.000000	0.0202608 	430.000000	4.89559e-06	
440.000000	0.0197005 	440.000000	0.0200575 	440.000000	0.019754  	440.000000	0.0196341 	440.000000	0.019753  	440.000000	0.0200527 	440.000000	4.79282e-06	
450.000000	0.0194954 	450.000000	0.0198588 	450.000000	0.0195592 	450.000000	0.0194398 	450.000000	0.0195581 	450.000000	0.0198541 	450.000000	4.69444e-06	
460.000000	0.0192993 	460.000000	0.0196689 	460.000000	0.0193725 	460.000000	0.0192542 	460.000000	0.0193719 	460.000000	0.0196643 	460.000000	4.60015e-06	
470.000000	0.0191115 	470.000000	0.0194873 	470.000000	0.0191937 	470.000000	0.0190769 	470.000000	0.0191941 	470.000000	0.0194828 	470.000000	4.50972e-06	
480.000000	0.0189315 	480.000000	0.0193135 	480.000000	0.019023  	480.000000	0.0189073 	480.000000	0.019024  	480.000000	0.0193091 	480.000000	4.4229e-06	
490.000000	0.018759  	490.000000	0.0191471 	490.000000	0.0188604 	490.000000	0.0187451 	490.000000	0.0188611 	490.000000	0.0191427 	490.000000	4.33948e-06	
500.000000	0.0185934 	500.000000	0.0189875 	500.000000	0.0187048 	500.000000	0.0185896 	500.000000	0.0187052 	500.000000	0.0189833 	500.000000	4.25926e-06	
520.000000	0.0182818 	520.000000	0.0186877 	520.000000	0.0184124 	520.000000	0.0182978 	520.000000	0.0184124 	520.000000	0.0186836 	520.000000	4.10771e-06	
540.000000	0.0179937 	540.000000	0.0184111 	540.000000	0.0181429 	540.000000	0.0180289 	540.000000	0.0181426 	540.000000	0.0184071 	540.000000	3.96694e-06	
560.000000	0.0177269 	560.000000	0.0181554 	560.000000	0.0178941 	560.000000	0.0177807 	560.000000	0.0178935 	560.000000	0.0181515 	560.000000	3.83582e-06	
580.000000	0.0174792 	580.000000	0.0179184 	580.000000	0.0176635 	580.000000	0.0175509 	580.000000	0.0176629 	580.000000	0.0179147 	580.000000	3.71339e-06	
600.000000	0.0172488 	600.000000	0.0176983 	600.000000	0.0174491 	600.000000	0.0173378 	600.000000	0.0174491 	600.000000	0.0176947 	600.000000	3.5988e-06	
620.000000	0.0170341 	620.000000	0.0174936 	620.000000	0.0172497 	620.000000	0.0171398 	620.000000	0.0172503 	620.000000	0.0174901 	620.000000	3.49131e-06	
640.000000	0.0168337 	640.000000	0.0173029 	640.000000	0.0170648 	640.000000	0.0169554 	640.000000	0.0170652 	640.000000	0.0172995 	640.000000	3.39028e-06	
660.000000	0.0166465 	660.000000	0.0171248 	660.000000	0.0168925 	660.000000	0.0167834 	660.000000	0.0168926 	660.000000	0.0171215 	660.000000	3.29512e-06	
680.000000	0.0164712 	680.000000	0.0169584 	680.000000	0.0167314 	680.000000	0.0166227 	680.000000	0.0167313 	680.000000	0.0169552 	680.000000	3.20535e-06	
700.000000	0.016307  	700.000000	0.0168026 	700.000000	0.0165808 	700.000000	0.0164724 	700.000000	0.0165804 	700.000000	0.0167994 	700.000000	3.1205e-06	
720.000000	0.0161529 	720.000000	0.0166565 	720.000000	0.0164398 	720.000000	0.0163316 	720.000000	0.016439  	720.000000	0.0166535 	720.000000	3.04018e-06	
740.000000	0.0160082 	740.000000	0.0165195 	740.000000	0.0163071 	740.000000	0.0161995 	740.000000	0.0163063 	740.000000	0.0165166 	740.000000	2.96404e-06	
760.000000	0.0158722 	760.000000	0.0163908 	760.000000	0.0161819 	760.000000	0.0160754 	760.000000	0.0161818 	760.000000	0.0163879 	760.000000	2.89174e-06	
780.000000	0.0157442 	780.000000	0.0162698 	780.000000	0.0160641 	780.000000	0.0159587 	780.000000	0.0160646 	780.000000	0.016267  	780.000000	2.82301e-06	
800.000000	0.0156236 	800.000000	0.0161559 	800.000000	0.0159536 	800.000000	0.0158488 	800.000000	0.0159542 	800.000000	0.0161532 	800.000000	2.75758e-06	
820.000000	0.0155101 	820.000000	0.0160487 	820.000000	0.0158504 	820.000000	0.0157458 	820.000000	0.0158508 	820.000000	0.016046  	820.000000	2.69522e-06	
840.000000	0.015403  	840.000000	0.0159476 	840.000000	0.0157554 	840.000000	0.015651  	840.000000	0.0157556 	840.000000	0.0159449 	840.000000	2.63572e-06	
860.000000	0.015302  	860.000000	0.0158522 	860.000000	0.0156657 	860.000000	0.0155616 	860.000000	0.0156657 	860.000000	0.0158496 	860.000000	2.57887e-06	
